block_height,timestamp,date,site_id,site_name,region,brand,model,version,title,price_local,currency,price_usd,url
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,worldrugbyshop,World Rugby Shop,USA,Canterbury,Phoenix Raze,Padrão,Canterbury Phoenix Raze SG Boot- Black/White,99.99,USD,99.99,https://www.worldrugbyshop.com/products/canterbury-phoenix-raze-sg-black-white
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,worldrugbyshop,World Rugby Shop,USA,Mizuno,Waitangi Wide Galaxy,Pro,Mizuno Waitangi Pro SG Wide - Black/Galaxy Silver,224.99,USD,224.99,https://www.worldrugbyshop.com/products/mizuno-waitangi-pro-sg-wide-black-galaxy-silver
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,lovellrugby,Lovell Rugby,Europe (UK),adidas,Adizero Rs15 Ultimate Adults,Padrão,adidas Adizero Rs15 Ultimate Adults Soft Ground Rugby Boots,195.0,GBP,265.86,https://www.lovellsports.com/products/adizero-rs15-ultimate-soft-ground-rugby-boots-1
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,lovellrugby,Lovell Rugby,Europe (UK),adidas,Kakari Rs Adults Soft,Padrão,adidas Kakari Rs Adults Soft Ground Rugby Boots,135.0,GBP,184.06,https://www.lovellsports.com/products/kakari-rs-rugby-boots-soft-ground
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,lovellrugby,Lovell Rugby,Europe (UK),adidas,Kakari Adults Soft Ground,Elite,adidas Kakari Elite Adults Soft Ground Rugby Boots,58.0,GBP,79.08,https://www.lovellsports.com/products/kakari-elite-soft-ground-rugby-boots-1
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,lovellrugby,Lovell Rugby,Europe (UK),Canterbury,Speed Soft Ground,Pro,Canterbury Mens Speed Pro Soft Ground Rugby Boots,88.0,GBP,119.98,https://www.lovellsports.com/products/mens-speed-pro-soft-ground-rugby-boots
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,lovellrugby,Lovell Rugby,Europe (UK),adidas,Adizero Rs15 Adults Soft,Elite,adidas Adizero Rs15 Elite Adults Soft Ground Rugby Boots,58.0,GBP,79.08,https://www.lovellsports.com/products/rs15-elite-soft-ground-rugby-boots
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,lovellrugby,Lovell Rugby,Europe (UK),Kooga,Power,Padrão,KooGa Mens Power Sg Rugby Boots,34.0,GBP,46.35,https://www.lovellsports.com/products/mens-power-sg-rugby-boots
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,lovellrugby,Lovell Rugby,Europe (UK),Kooga,Rapid,Padrão,KooGa Mens Rapid Rugby Boots,38.0,GBP,51.81,https://www.lovellsports.com/products/mens-rapid-rugby-boots
964033,2026-08-25T14:43:36.229663-03:00,2026-08-25,lovellrugby,Lovell Rugby,Europe (UK),adidas,Kakari Adults Soft Ground,Padrão,adidas Kakari Adults Soft Ground Rugby Boots,34.0,GBP,46.35,https://www.lovellsports.com/products/kakari-soft-ground-rugby-boots
